09162026h | TestFlight Update
09162026g | Xcode 27.2 beta (27B5019j)
09162026a | iOS 27.2 beta (24B5084k)
09162026b | iPadOS 27.2 beta (24B5084k)
09162026c | macOS 27.2 beta (26B5086k)
09162026d | tvOS 27.2 beta (24K5088l)
09162026e | visionOS 27.2 beta (24N5088l)
09162026f | watchOS 27.2 beta (24S5086l)
09142026i | App Store Connect Update
09142026h | Xcode 27 (27A266a)
09142026a | iOS 27.0 (24A437)
09142026b | iPadOS 27.0 (24A437)
09142026c | macOS 27.0 (26A428)
09142026d | tvOS 27.0 (24J361)
09142026e | visionOS 27.0 (24M362)
09142026f | watchOS 27.0 (24R364)
09092026g | iPadOS 26.7 (23H24)
09082026c | Transporter 1.4.5
09082026a | iOS 26.6.2 (23G90)
09082026b | iPadOS 26.6.2 (23G90)
08172026i | visionOS 26.6.1 (23O780)
08172026j | macOS 26.6.2 (25G83)
08172026k | iOS 18.7.10 (22H374)
08172026l | iPadOS 18.7.10 (22H374)
07272026d | tvOS 26.6 (23L773)
07272026f | watchOS 26.6 (23U67)
07212026b | TestFlight 4.3
07152026a | App Store Connect API 4.4.1
06252026a | Xcode 26.6 (17F113)
06092026a | AirPods beta (9A292e)
05112026i | iPadOS 17.7.11 (21H461)
05112026j | iOS 16.7.16 (20H392)
05112026k | iPadOS 16.7.16 (20H392)
05112026l | iOS 15.8.8 (19H422)
05112026m | iPadOS 15.8.8 (19H422)
